被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
322,4360836,4386010,3574887,2954251,4270644,5059441
323,4363867,4385767,3575153,2954153,4270225,5059441
324,4366948,4385670,3575081,2954373,4270324,5052625
325,4361588,4386252,3575081,2954470,4270151,5051822
326,4360185,4385815,3575565,2954689,4270250,5056909
327,4366522,4385912,3575347,2955007,4270471,5054013
328,4366622,4385912,3575493,2955299,4270176,5048196
329,4366622,4385354,3575129,2955787,4270521,5051871
330,4359934,4386034,3575008,2955787,4270521,5053307
331,4359835,4386373,3574669,2956226,4270767,5046857
332,4366522,4385427,3575081,2956251,4270840,5046905
333,4362365,4385475,3575081,2956275,4270865,5052771
334,4360461,4385645,3575032,2956104,4271037,5052771
335,4366748,4385597,3575444,2956080,4270914,5052747
336,4367649,4385694,3575444,2956055,4271578,5046078
337,4360461,4385524,3575541,2955689,4271480,5045372
338,4361062,4385597,3575517,2955689,4272095,5051189
339,4368601,4385597,3575129,2955519,4272243,5047076
340,4368601,4386252,3575129,2955519,4272932,5044374
341,4368977,4386835,3575589,2955860,4272932,5050776
342,4361964,4386349,3575274,2956104,4272661,5050873
343,4362940,4386470,3575153,2956006,4273177,5044617
344,4368476,4387199,3574597,2956104,4273375,5044788
345,4364118,4386932,3575129,2955738,4273571,5044788
346,4361388,4387781,3574742,2955470,4274358,5051482
347,4367800,4387781,3574742,2955665,4274506,5051043
348,4368201,4388291,3574911,2956006,4274974,5045275
349,4361312,4387466,3574330,2955958,4275318,5047051
350,4361538,4387466,3574403,2956128,4275884,5051068
351,4361538,4388048,3574742,2956128,4276154,5046419
352,4368852,4388412,3574718,2956251,4276154,5044374
353,4369378,4387854,3574718,2956494,4276524,5050362
354,4362940,4387684,3574669,2956665,4276302,5050362
355,4365696,4387951,3574718,2956909,4276794,5043741
356,4370955,4387878,3574451,2956811,4276917,5043741
357,4365095,4387684,3574378,2956835,4277631,5043449
358,4363867,4388412,3573870,2956665,4277507,5049607
359,4372233,4387830,3573870,2956738,4277951,5047855
360,4372859,4388048,3574451,2955958,4278024,5041575
361,4366046,4387903,3574185,2955324,4278442,5044350
362,4366046,4387903,3574185,2955324,4278713,5047295
363,4367975,4387830,3574233,2955470,4278713,5041113
364,4374763,4387999,3574209,2955226,4278565,5039676
365,4371081,4387854,3574016,2955348,4279082,5045689
366,4368326,4387951,3574330,2955616,4278836,5045689
367,4375690,4387611,3573870,2955958,4279107,5045469
368,4376867,4387538,3573797,2956153,4279008,5039019
369,4370955,4387466,3573967,2955714,4278959,5039506
370,4371957,4386859,3573967,2955153,4278590,5044447
371,4379597,4386786,3573676,2954738,4278861,5039554
372,4378520,4386932,3574064,2954738,4279181,5037194
373,4378520,4386932,3574064,2954421,4279181,5043206
374,4372559,4386470,3573313,2953714,4279549,5043303
375,4376216,4386470,3572998,2953153,4279845,5036975
376,4379873,4386713,3573555,2953105,4279747,5036293
377,4372934,4386519,3573434,2953788,4280115,5036293
378,4372909,4385742,3573531,2954397,4280091,5042232
